21:09:36.332906 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [S], seq 1089216513, win 42340, options [mss 1460,sackOK,TS val 4187308599 ecr 0,nop,wscale 9], length 0
21:09:36.338622 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [.], ack 802190598, win 83, options [nop,nop,TS val 4187308605 ecr 273790499], length 0
21:09:36.339524 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 0:4344, ack 1, win 83, options [nop,nop,TS val 4187308606 ecr 273790499], length 4344
21:09:36.339665 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 4344:8688, ack 1, win 83, options [nop,nop,TS val 4187308606 ecr 273790499], length 4344
21:09:36.339746 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 8688:13032, ack 1, win 83, options [nop,nop,TS val 4187308606 ecr 273790499], length 4344
21:09:36.339827 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [.], seq 13032:14480, ack 1, win 83, options [nop,nop,TS val 4187308606 ecr 273790499], length 1448
21:09:36.341817 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 14480:20272, ack 1, win 83, options [nop,nop,TS val 4187308608 ecr 273790505], length 5792
21:09:36.341827 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 20272:23168, ack 1, win 83, options [nop,nop,TS val 4187308608 ecr 273790505], length 2896
21:09:36.342096 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 23168:36200, ack 1, win 83, options [nop,nop,TS val 4187308608 ecr 273790507], length 13032
21:09:36.342105 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 36200:49232, ack 1, win 83, options [nop,nop,TS val 4187308608 ecr 273790507], length 13032
21:09:36.342364 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 49232:55024, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 5792
21:09:36.342373 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 55024:57920, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 2896
21:09:36.342382 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 57920:67944, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 10024
21:09:36.342391 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 67944:73736, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 5792
21:09:36.342689 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 73736:76632, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 2896
21:09:36.342927 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 76632:79640, ack 1, win 83, options [nop,nop,TS val 4187308609 ecr 273790508], length 3008
21:09:36.343413 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 79640:102808, ack 1, win 83, options [nop,nop,TS val 4187308610 ecr 273790508], length 23168
21:09:36.343623 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 102808:125976, ack 1, win 83, options [nop,nop,TS val 4187308610 ecr 273790508], length 23168
21:09:36.343828 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 125976:128280, ack 1, win 83, options [nop,nop,TS val 4187308610 ecr 273790508], length 2304
21:09:36.343972 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 128280:131072, ack 1, win 83, options [nop,nop,TS val 4187308610 ecr 273790509], length 2792
21:09:36.345109 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [.], ack 1, win 83, options [nop,nop,TS val 4187308612 ecr 273790509], length 0
21:09:37.339533 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 131072:138312, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273790509], length 7240
21:09:37.339653 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 138312:145552, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273790509], length 7240
21:09:37.339830 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 145552:160032, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273791505], length 14480
21:09:37.339917 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 160032:174512, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273791505], length 14480
21:09:37.340052 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 174512:202024, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273791505], length 27512
21:09:37.340142 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 202024:230984, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273791505], length 28960
21:09:37.340218 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [.], seq 230984:232432, ack 1, win 83, options [nop,nop,TS val 4187309606 ecr 273791505], length 1448
21:09:37.340356 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 232432:258496, ack 1, win 83, options [nop,nop,TS val 4187309607 ecr 273791506], length 26064
21:09:37.340444 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 258496:262144, ack 1, win 83, options [nop,nop,TS val 4187309607 ecr 273791506], length 3648
21:09:38.339541 IP 10.0.0.1.41646 > 10.0.0.3.5001: Flags [P.], seq 262144:269384, ack 1, win 83, options [nop,nop,TS val 4187310606 ecr 273791506], length 7240
